Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2017,2017,2017,2,0,1,Import,434,Libya,LBY,757,Switzerland,CHE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,10902,,,0
H2,2017,2017,2017,2,0,1,Import,434,Libya,LBY,784,United Arab Emirates,ARE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,12458000,,,0
H2,2017,2017,2017,2,0,1,Import,434,Libya,LBY,788,Tunisia,TUN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,373092,,,0
H2,2017,2017,2017,2,0,1,Import,434,Libya,LBY,792,Turkey,TUR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,5074760,,,0
H2,2017,2017,2017,2,0,1,Import,434,Libya,LBY,804,Ukraine,UKR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,1878505,,,0
H2,2017,2017,2017,2,0,1,Import,434,Libya,LBY,818,Egypt,EGY,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,2568858,,,0
H2,2017,2017,2017,2,0,1,Import,434,Libya,LBY,826,United Kingdom,GBR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,1454965,,,0
H2,2017,2017,2017,2,0,1,Import,434,Libya,LBY,842,USA,USA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,1236658,,,0
H2,2018,2018,2018,2,0,1,Import,434,Libya,LBY,0,World,WLD,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,2202022979,,,0
H2,2018,2018,2018,2,0,1,Import,434,Libya,LBY,40,Austria,AUT,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,25909,,,0
H2,2018,2018,2018,2,0,1,Import,434,Libya,LBY,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,25153577,,,0
H2,2018,2018,2018,2,0,1,Import,434,Libya,LBY,76,Brazil,BRA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,440301,,,0
H2,2018,2018,2018,2,0,1,Import,434,Libya,LBY,100,Bulgaria,BGR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,287771,,,0
H2,2018,2018,2018,2,0,1,Import,434,Libya,LBY,112,Belarus,BLR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,29799,,,0
H2,2018,2018,2018,2,0,1,Import,434,Libya,LBY,124,Canada,CAN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,146853,,,0
H2,2018,2018,2018,2,0,1,Import,434,Libya,LBY,156,China,CHN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,278053,,,0
H2,2018,2018,2018,2,0,1,Import,434,Libya,LBY,196,Cyprus,CYP,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,445911439,,,0
H2,2018,2018,2018,2,0,1,Import,434,Libya,LBY,203,Czechia,CZE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,69320,,,0
H2,2018,2018,2018,2,0,1,Import,434,Libya,LBY,233,Estonia,EST,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,63651,,,0
H2,2018,2018,2018,2,0,1,Import,434,Libya,LBY,251,France,FRA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,263694,,,0
H2,2018,2018,2018,2,0,1,Import,434,Libya,LBY,276,Germany,DEU,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,6706168,,,0
H2,2018,2018,2018,2,0,1,Import,434,Libya,LBY,300,Greece,GRC,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,410395868,,,0
H2,2018,2018,2018,2,0,1,Import,434,Libya,LBY,381,Italy,ITA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,752662268,,,0
H2,2018,2018,2018,2,0,1,Import,434,Libya,LBY,392,Japan,JPN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,121376,,,0
H2,2018,2018,2018,2,0,1,Import,434,Libya,LBY,400,Jordan,JOR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,25090,,,0
H2,2018,2018,2018,2,0,1,Import,434,Libya,LBY,410,Rep. of Korea,KOR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,2430455,,,0
H2,2018,2018,2018,2,0,1,Import,434,Libya,LBY,414,Kuwait,KWT,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,34786,,,0
H2,2018,2018,2018,2,0,1,Import,434,Libya,LBY,422,Lebanon,LBN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,5274,,,0
H2,2018,2018,2018,2,0,1,Import,434,Libya,LBY,428,Latvia,LVA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,349665,,,0
H2,2018,2018,2018,2,0,1,Import,434,Libya,LBY,440,Lithuania,LTU,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,22350960,,,0
H2,2018,2018,2018,2,0,1,Import,434,Libya,LBY,458,Malaysia,MYS,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,182763,,,0
H2,2018,2018,2018,2,0,1,Import,434,Libya,LBY,470,Malta,MLT,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,106985378,,,0
